species,reactor,sample_time,dilution,count,average,stdev
ct,M1,0.0,-3,18|20|26,4266666.666666667,832666.3997864531
ct,M1,18.8,-3,16|14|17,3133333.3333333335,305505.04633038933
ct,M1,24.4,-3,12|11|13,2400000.0,200000.0
ct,M1,43.4,-3,4|5|4,866666.6666666666,115470.05383792515
ct,M1,48.5,-3,11|5|13,1933333.3333333333,832666.3997864531
ct,M1,67.5,-3,8|7|8,1533333.3333333333,115470.05383792515
ct,M1,71.3,-3,12|11|13,2400000.0,200000.0
at,M1,0.0,-4,7|7|10,16000000.0,3464101.6151377545
at,M1,18.8,-4,6|9|5,13333333.333333334,4163331.9989322657
at,M1,24.4,-4,5|3|7,10000000.0,4000000.0
at,M1,43.4,-4,3|3|1,4666666.666666667,2309401.076758503
at,M1,48.5,-3,16|11|18,3000000.0,721110.2550927978
at,M1,67.5,-4,6|3|3,8000000.0,3464101.6151377545
at,M1,71.3,-4,2|4|1,4666666.666666667,3055050.4633038933
oa,M1,0.0,-5,1|1|1,19999999.999999996,0.0
oa,M1,18.8,-4,3|5|10,12000000.0,7211102.550927979
oa,M1,24.4,-4,1|2|1,2666666.6666666665,1154700.5383792515
oa,M1,43.4,-4,3|4|1,5333333.333333333,3055050.4633038933
oa,M1,48.5,-4,1|2|2,3333333.3333333335,1154700.5383792515
oa,M1,67.5,-4,5|2|2,6000000.0,3464101.6151377545
oa,M1,71.3,-4,3|1|3,4666666.666666667,2309401.076758503
ms,M1,0.0,-5,2|1|2,33333333.33333333,11547005.383792514
ms,M1,18.8,-4,2|3|1,4000000.0,2000000.0
ms,M1,24.4,-4,1|1|1,2000000.0,0.0
ms,M1,43.4,-3,3|2|3,533333.3333333334,115470.05383792515
ms,M1,48.5,-3,1|3|1,333333.3333333333,230940.1076758503
ms,M1,67.5,-3,2|3|4,600000.0,200000.0
ms,M1,71.3,-3,2|3|2,466666.6666666667,115470.05383792515
